"cleanventory_id","inventory_id","inchi_id"
1,1,175961
2,2,176594
3,3,94981
4,4,98700
5,5,98402
6,6,34722
7,7,58171
8,8,183548
9,9,91553
10,10,170128
11,11,35541
12,12,58814
13,13,110371
14,14,152012
15,15,29607
16,16,124281
17,17,91120
18,18,91143
19,19,90634
20,20,75502
21,21,75467
22,22,55525
23,23,153387
24,24,153144
25,25,82429
26,26,79642
27,27,98337
28,28,42548
29,29,70258
30,30,85347
31,31,18843
32,32,105258
33,33,85421
34,34,137269
35,35,153396
36,36,74739
37,37,84625
38,38,80620
39,39,103348
40,40,89954
41,41,69472
42,42,3320
43,43,117944
44,44,127544
45,45,128578
46,46,37380
47,47,78974
48,48,69550
49,49,114777
50,50,75703
51,51,48186
52,52,147017
53,53,16659
54,54,135407
55,55,144146
56,56,130491
57,57,139731
58,58,174569
59,59,153385
60,60,148531
61,61,153383
62,62,165715
63,63,175297
64,64,18730
65,65,167845
66,66,49466
67,67,19865
68,68,142733
69,69,81628
70,70,46146
71,71,46537
72,72,64282
73,73,156226
74,74,154750
75,75,168919
76,76,130530
77,77,130594
78,78,55586
79,79,145808
80,80,29270
81,81,30589
82,82,70265
83,83,139354
84,84,153390
85,85,27480
86,86,158759
87,87,158803
88,88,169863
89,89,169877
90,90,153392
91,91,139180
92,92,56077
93,93,56078
94,94,149782
95,95,70646
96,96,183597
97,97,19529
98,98,175298
99,99,38387
100,100,158723
101,101,7096
102,101,169350
103,102,169415
104,103,166960
105,104,168204
106,105,158651
107,106,36546
108,107,159090
109,108,139171
110,109,135568
111,110,108319
112,111,147665
113,112,124563
114,113,136667
115,114,147667
116,115,143751
117,116,143708
118,117,152538
119,118,130274
120,119,136640
121,120,94784
122,121,101000
123,122,98406
124,123,142087
125,124,69662
126,125,74572
127,126,36690
128,127,90670
129,128,16715
130,129,86519
131,130,123975
132,131,141557
133,132,107858
134,133,60906
135,134,135843
136,135,135844
137,136,132697
138,137,98027
139,138,86022
140,139,86389
141,140,20783
142,141,89256
143,142,75771
144,143,124590
145,144,124595
146,145,91632
147,146,90065
148,147,91482
149,148,90653
150,149,74925
151,150,122702
152,151,48685
153,152,70240
154,153,103158
155,154,94947
156,155,90130
157,156,101037
158,157,81612
159,158,81549
160,159,81364
161,160,89987
162,161,90922
163,162,90434
164,163,69914
165,164,78619
166,165,92579
167,166,129343
168,167,17891
169,168,90231
170,169,78710
171,170,94131
172,171,56692
173,172,114779
174,173,30600
175,174,75710
176,175,175226
177,176,18553
178,177,27572
179,178,26221
180,179,136969
181,180,155139
182,181,158537
183,182,110621
184,183,81683
185,184,34129
186,185,66031
187,186,64166
188,187,50236
189,188,167879
190,189,157960
191,190,79736
192,191,183898
193,192,29843
194,193,38382
195,194,147560
196,195,146367
197,196,164125
198,197,57829
199,198,169489
200,199,140487
201,200,138225
202,201,56073
203,202,56292
204,203,167595
205,204,70248
206,205,129565
207,206,155748
208,207,146374
209,208,158783
210,209,169867
211,210,20090
212,211,18326
213,212,64042
214,213,183977
215,214,170030
216,215,157093
217,216,95146
218,217,158552
219,218,123841
220,219,23858
221,220,145953
222,221,57832
223,222,169678
224,223,135564
225,224,143576
226,225,54825
227,226,41308
228,227,144151
229,228,113562
230,229,137907
231,230,130541
232,231,131626
233,232,131250
234,233,125159
235,234,133551
236,235,144361
237,236,130269
238,237,144764
239,238,175655
240,239,17512
241,240,36685
242,241,65564
243,242,162732
244,243,13243
245,244,10334
246,245,46666
247,246,19007
248,247,113112
249,248,124568
250,249,124614
251,250,98663
252,251,88080
253,252,74335
254,253,85067
255,254,72171
256,255,173380
257,256,128567
258,257,20709
259,258,27595
260,259,50947
261,260,143528
262,261,27361
263,262,124993
264,263,124308
265,264,132560
