"mc_id","component_id","component_frequency"
31734,18790,1
31733,18790,1
16371,18790,1
16346,18790,1
3618,18790,1
37366,18790,1
16367,18790,1
16341,18790,1
16345,18790,1
16368,18790,1
25098,18790,2
10854,18898,1
5912,20630,1
13382,20630,1
789,20630,1
9381,20630,1
5602,20705,1
9109,20705,1
491,20705,1
1594,20705,1
2918,20705,1
6118,20705,1
5891,20705,1
6731,20705,1
8089,20705,1
3176,20705,1
10237,20705,1
11426,20705,1
6758,20705,1
5401,20705,1
6769,20705,1
4111,20705,1
16418,20705,1
4065,20705,1
16429,20705,1
17731,20705,1
5965,20705,1
3305,20705,1
5784,20705,1
5677,20705,1
10449,20705,1
5620,20705,1
13058,20705,1
9379,20705,1
598,20705,1
11807,20705,1
10810,20705,1
5758,20705,1
8637,20705,1
4785,20705,1
16308,20705,1
6065,20705,1
2039,20705,1
16331,20705,1
6064,20705,1
2047,20705,1
933,20705,1
6431,20705,1
6338,20705,1
16211,20705,1
12955,20705,1
10255,20705,1
749,20705,1
5975,20705,1
10338,20705,1
11548,20705,1
31121,20705,1
2048,20705,1
1477,20705,1
8166,20705,1
9304,20705,1
8084,20705,1
2298,20705,1
1593,20705,1
13994,20705,1
10408,20705,1
12393,20705,1
7783,20705,1
5488,20705,1
6266,20705,1
7437,20705,1
12920,20705,1
7306,20705,1
389,20705,1
11585,20705,1
11076,20705,1
13865,20705,1
3715,20705,1
5700,20705,1
13162,20705,1
10360,20705,1
10167,20705,1
1648,20705,1
335,20705,1
5595,20705,1
6063,20705,1
35701,20705,1
6997,20705,1
5704,20705,1
5585,20705,1
5806,20705,1
4517,20705,1
13923,20705,1
2919,20705,1
16244,20705,1
6850,20705,1
3254,20705,1
10919,20705,1
6492,20705,1
319,20705,1
8162,20705,1
964,20705,1
14340,20705,1
16166,20705,1
6128,20705,1
4083,20705,1
3087,20705,1
5519,20705,1
10103,20705,1
5462,20705,1
12211,20705,1
12483,20705,1
5716,20705,1
10586,20705,1
6384,20705,1
595,20705,1
7837,20705,1
3929,20705,1
6074,20705,1
5946,20705,1
2052,20705,1
7683,20705,1
2583,20705,1
16332,20705,1
12349,20705,1
5805,20705,1
7886,20705,1
1694,20705,1
5910,20705,1
2743,20705,1
3747,20705,1
10894,554,1
24341,7844,1
23582,7844,1
16203,18355,1
11729,18355,1
23943,18355,2
12406,18463,1
9103,18463,1
11871,18463,1
16562,18463,1
33918,18463,1
12025,18463,1
11276,18463,1
18821,18463,1
2388,18463,1
28590,18463,1
11101,18463,1
2910,18463,1
15911,18463,1
4484,18476,1
29771,19999,1
4397,20774,1
9279,20774,1
30008,20774,1
11923,20774,1
6344,20774,1
29793,20774,1
7700,20774,1
8522,20774,1
11619,20774,1
7480,20774,1
7464,20774,1
5936,20774,1
3731,20774,1
6324,20774,1
616,20774,1
6792,20774,1
11818,20774,1
6434,20774,1
11446,20774,1
6700,20774,1
5441,20774,1
5516,20774,1
5813,20774,1
6726,20774,1
4942,20774,1
6054,20774,1
14449,20774,1
6824,20774,1
16307,20774,1
29794,20774,1
6226,20774,1
5935,20774,1
6550,20774,1
11418,20774,1
340,20774,1
6583,20774,1
10383,20774,1
5604,20774,1
29958,20774,1
29880,20774,1
5904,20774,1
527,20774,1
29852,20774,1
8676,20774,1
31136,20774,1
13146,20774,1
542,20774,1
11176,20774,1
1797,20774,1
16325,20774,1
29631,20774,1
490,20774,1
5454,20774,1
5587,20774,1
6373,20774,1
13169,20774,1
8086,20774,1
8098,20774,1
5839,20774,1
6059,20774,1
6126,20774,1
6991,20774,1
6055,20774,1
16326,20774,1
5506,20774,1
4678,20774,1
30447,20774,1
7190,20774,1
5705,20774,1
7340,20774,1
5562,20774,1
14318,20774,1
5629,20774,1
30140,20774,1
6943,20774,1
16475,20774,1
6083,20774,1
871,20774,1
16322,20774,1
5889,20774,1
16306,20774,1
13245,20774,1
3217,20774,1
9427,20774,1
10654,20774,1
7410,20774,1
10238,20774,1
31240,20774,1
8328,20774,1
392,20774,1
686,20774,1
16321,20774,1
6069,20774,1
10797,20774,1
8874,20774,1
30991,20774,1
8607,20774,1
11917,20774,1
25720,20774,1
10921,20774,1
9611,20774,1
6941,20774,1
6701,20774,1
903,20774,1
29957,20774,1
12564,20774,1
832,20774,1
17568,20774,1
6585,20774,1
32149,20774,1
2867,20774,1
6833,20774,1
12641,20774,1
31742,20774,1
11132,20774,1
6061,20774,1
17774,20774,1
2413,20774,1
29767,20774,1
29766,20774,1
33087,20774,1
6915,20774,1
902,20774,1
6247,20774,1
12683,20774,1
12597,20774,1
5536,20774,1
5979,20774,1
1704,20774,1
5470,20774,1
5858,20774,1
14015,20774,1
15093,20774,1
29948,20774,1
5877,20774,1
17768,20774,1
11872,20774,1
12468,20774,1
15293,20774,1
6805,20774,1
11347,20774,1
5534,20774,1
6553,20774,1
5826,20774,1
7255,20774,1
6483,20774,1
29791,20774,1
16320,20774,1
5757,20774,1
11553,20774,1
14561,20774,1
867,20774,1
5958,20774,1
29641,20774,1
7768,20774,1
17585,20774,1
6249,20774,1
29635,20774,1
5436,20774,1
5453,20774,1
5697,20774,1
2271,20774,1
6834,20774,1
16401,20774,1
5403,20774,1
5594,20774,1
10066,20774,1
29788,20774,1
12931,20774,1
9764,20774,1
6071,20774,1
5540,20774,1
9469,20774,1
30003,20774,1
6916,20774,1
6771,20774,1
283,20774,1
5949,20774,1
5449,20774,1
9820,20774,1
7200,20774,1
6154,20774,1
5780,20774,1
7594,20774,1
34333,20774,1
29805,20774,1
597,20774,1
5526,20774,1
3312,20774,1
5627,20774,1
6176,20774,1
12244,20774,1
12074,20774,1
3594,20774,1
4868,20774,1
29443,20774,1
5465,20774,1
9784,20774,1
8758,20774,1
29640,20774,1
307,20774,1
6525,20774,1
5997,20774,1
492,20774,1
608,20774,1
12028,20774,1
6282,20774,1
6579,20774,1
30139,20774,1
29650,20774,1
15741,20774,1
21289,20774,1
5416,20774,1
29783,20774,1
5695,20774,1
4587,20774,1
11701,20774,1
12575,20774,1
13338,20774,1
7491,20774,1
6900,20774,1
7322,20774,1
12156,20774,1
13205,20774,1
10696,20774,1
7267,20774,1
519,20774,1
9800,20774,1
7607,20774,1
9730,20774,1
29960,20774,1
8206,20774,1
6953,20774,1
777,20774,1
6044,20774,1
29928,20774,1
563,20774,1
7720,20774,1
347,20774,1
34280,20774,1
6070,20774,1
12918,20774,1
29959,20774,1
29927,20774,1
410,20774,1
11167,20774,1
16276,20774,1
7055,20774,1
11406,20774,1
6572,20774,1
6684,20774,1
521,20774,1
10920,20774,1
6166,20774,1
13647,20774,1
5866,20774,1
16459,20774,1
3556,20774,1
5450,20774,1
13317,20774,1
31033,20774,1
5570,20774,1
5423,20774,1
6088,20774,1
13948,20774,1
3683,20774,1
520,20774,1
6078,20774,1
16319,20774,1
2098,20774,1
5956,20774,1
13695,20774,1
29779,20774,1
9819,20774,1
5696,20774,1
12568,20774,1
32127,20774,1
8774,20774,1
11362,20774,1
10721,20774,1
5092,20774,1
6410,20774,1
7606,20774,1
9589,20774,1
31128,20774,1
5725,20774,1
5873,20774,1
9062,20774,1
2981,20774,1
6139,20774,1
16513,20774,1
10692,20774,1
5521,20774,1
6765,20774,1
2730,20774,1
6514,20774,1
3682,20774,1
6110,20774,1
1728,20774,1
29926,20774,1
30035,20774,1
6681,20774,1
6526,20774,1
6573,20774,1
8194,20774,1
29941,20774,1
10922,20774,1
5503,20774,1
29786,20774,1
5422,20774,1
29947,20774,1
29964,20774,1
6951,20774,1
8096,20774,1
11383,20774,1
29785,20774,1
7589,20774,1
5590,20774,1
29961,20774,1
11451,20774,1
3180,20774,1
5484,20774,1
11916,20774,1
12574,20774,1
12646,20774,1
13112,20774,1
938,20774,1
6374,20774,1
16970,20774,1
7030,20774,1
7125,20774,1
7692,20774,1
29943,20774,1
12689,20774,1
1793,20774,1
11936,20774,1
5703,20774,1
6085,20774,1
12761,20774,1
31041,20774,1
6022,20774,1
6051,20774,1
9119,20774,1
6167,20774,1
292,20774,1
7056,20774,1
9729,20774,1
384,20774,1
12212,20774,1
14813,20774,1
6168,20774,1
7101,20774,1
6908,20774,1
7592,20774,1
7843,20774,1
6708,20774,1
9801,20774,1
609,20774,1
3681,20774,1
13337,20774,1
6944,20774,1
5936,19752,1
6544,19752,1
19073,19752,1
12642,19728,1
613,19728,1
4909,19928,1
35847,19928,1
7120,19928,1
20579,19928,1
3152,19578,2
5987,19653,1
16271,19653,1
773,19653,1
10601,18912,1
10382,18912,1
9003,18912,1
6261,19927,1
6650,19927,1
7950,19927,1
8888,18953,1
6227,18953,1
23920,18953,1
25399,18953,2
1353,19877,1
5423,19753,1
5470,19753,1
12584,18258,1
11325,18258,1
8044,19241,1
32145,20950,1
28890,20065,1
9136,6188,1
19396,1445,2
5293,18165,1
9873,18165,1
11170,18165,1
4652,18165,1
10462,18165,1
5394,18165,1
9869,18165,1
32660,18165,1
10118,18165,1
7324,18165,1
19982,18165,2
4961,17139,1
28897,19348,1
37250,794,1
16814,4188,1
13963,824,1
32286,22150,1
21663,17142,1
10146,21786,1
6540,21786,1
12514,21786,1
1712,21788,1
16382,21792,1
27531,21793,1
5882,21794,1
7934,17460,2
8746,22068,1
16724,22068,1
38367,22068,1
13726,22068,1
26094,22068,1
16712,22068,1
3236,22068,1
9628,22068,2
9267,22068,1
37048,22068,1
10974,22068,1
32214,22068,1
10733,22068,2
24735,22068,1
8390,22068,1
9293,22068,1
15699,22068,1
4612,22068,2
35612,22068,3
13426,22068,1
30375,22068,2
10946,22068,1
7433,22068,1
8535,22068,1
142,22068,1
35138,22068,1
10962,22068,1
10957,22068,1
7300,22068,1
9812,22068,1
4498,22068,1
10972,22068,1
8650,22068,1
3024,22068,1
11788,22068,1
17012,22068,1
6449,22068,1
5684,22068,1
17232,22068,1
30863,22068,1
