"component_id","inchi_id"
1,344186
2,73621
3,145042
4,344187
5,73516
6,344188
7,344189
8,344190
9,344191
10,126433
11,73630
12,73633
13,344192
14,145038
15,344193
16,344194
17,97598
18,138921
19,344195
20,188990
21,195852
22,76079
23,344196
24,344197
25,9322
26,75905
27,183057
28,136288
29,14406
30,344198
31,139008
32,344199
33,344200
34,344201
35,14249
36,73645
37,344202
38,146483
39,344203
40,73636
41,344204
42,344205
43,344206
44,344207
45,344208
46,190662
47,344209
48,188292
49,344210
50,344211
51,344212
52,344213
53,344214
54,344215
55,184046
56,344216
57,344217
58,344218
59,344219
60,344220
61,344221
62,344222
63,73634
64,344223
65,99693
66,1437
67,73635
68,344224
69,145397
70,344225
71,344226
72,74978
73,344227
74,13042
75,344228
76,344229
77,344230
78,344231
79,137676
80,420
81,344232
82,215228
83,344233
84,344234
85,9292
86,133918
87,344235
88,344236
89,344237
90,73653
91,344238
92,344239
93,145111
94,344240
95,344241
96,344242
97,344243
98,344244
99,344245
100,100884
101,75626
102,344246
103,344247
104,344248
105,344249
106,344250
107,344251
108,367
109,26471
110,344252
111,76194
112,14325
113,119343
114,73638
115,344253
116,344254
117,344255
118,266008
119,344256
120,344257
121,2234
122,3158
123,84596
124,344258
125,39666
126,62348
127,344259
128,63391
129,344260
130,138669
131,61486
132,23818
133,141501
134,75536
135,344261
136,344262
137,198010
138,344263
139,344264
140,344265
141,344266
142,64741
143,344267
144,344268
145,344269
146,344270
147,344271
148,85254
149,344272
150,344273
151,186516
152,344274
153,23021
154,344275
155,5521
156,12422
157,4414
158,344276
159,25658
160,344277
161,344278
162,10422
163,177022
164,344279
165,344280
166,344281
167,344282
168,344283
169,260998
170,344284
171,38424
172,344285
173,344286
174,344287
175,344288
176,83881
177,344289
178,85234
179,344290
180,142282
181,16033
182,147001
183,344291
184,344292
185,344293
186,344294
187,344295
188,344296
189,344297
190,344298
191,344299
192,17826
193,344300
194,175847
195,344301
196,344302
197,344303
198,60398
199,344304
200,344305
201,344306
