"zeropm_id","inchi_id"
1,8583
2,13015
3,8750
4,45957
5,25784
6,19606
7,9882
8,9881
9,5835
10,8845
11,27858
12,28004
13,28006
14,29132
15,27975
16,28019
17,28001
18,9024
19,1384
20,48012
21,28956
22,47188
23,48013
24,28691
25,11030
26,8839
27,8829
28,8833
29,48014
30,47261
31,12100
32,19403
33,8837
34,47393
35,24821
36,15822
37,8771
38,12600
39,12595
40,12592
41,12589
42,15819
43,24923
44,8844
45,45696
46,13828
47,13829
48,33012
49,33016
50,33011
51,25304
52,8838
53,15715
54,23979
55,20483
56,20484
57,48015
58,15716
59,45647
60,46148
61,23242
62,17430
63,19795
64,19785
65,19790
66,47921
67,28243
68,27556
69,27856
70,20120
71,45896
72,17572
73,4331
74,7468
75,7469
76,7470
77,7467
78,17108
79,24528
80,23357
81,24623
82,21475
83,22584
84,25019
85,42597
86,13415
87,40574
88,28722
89,30965
90,22265
91,19993
92,19990
93,20071
94,25990
95,46474
96,25998
97,31311
98,9217
99,9041
100,7322
101,25027
102,22406
103,25294
104,12680
105,24213
106,30515
107,29840
108,32196
109,26628
110,17507
111,17506
112,17505
113,6739
114,21040
115,10794
116,12276
117,12274
118,24894
119,24905
120,23619
121,10787
122,10791
123,10792
124,23633
125,30887
126,8764
127,13952
128,8757
129,11025
130,15148
131,10810
132,10987
133,17929
134,10723
135,12397
136,2774
137,23680
138,17571
139,36869
140,26612
141,34785
142,48018
143,14833
144,31625
145,31786
146,36537
147,32217
148,20849
149,13103
150,36971
151,36936
152,36951
153,36956
154,36945
155,36944
156,36916
157,36919
158,36923
159,36952
160,48019
161,36963
162,36960
163,36964
164,1815
165,38876
166,42061
167,36954
168,36958
169,36967
170,24236
171,36937
172,36926
173,18398
174,10019
175,36930
176,36933
177,30400
178,4994
179,30487
180,30482
181,30490
182,37542
183,30497
184,30485
185,30480
186,38915
187,37543
188,18498
189,910
190,18706
191,46558
192,10423
193,22046
194,30473
195,33674
196,30492
197,30397
198,33330
199,30396
200,30016
201,42807
202,42805
203,42783
204,42784
205,40170
206,30392
207,42060
208,23726
209,48022
210,10497
211,6923
212,6922
213,29734
214,29204
215,48023
216,48024
217,17030
218,48025
219,31075
220,42263
221,17838
222,27403
223,29203
224,28335
225,9058
226,28336
227,28339
228,31624
229,45128
230,37334
231,37332
232,46143
233,28850
234,15019
235,19969
236,7783
237,19311
238,32787
239,32785
240,36768
241,36654
242,36646
243,36753
244,5520
245,13155
246,37157
247,40385
248,40371
249,15913
250,40573
251,40662
252,25538
253,14086
254,13955
255,40346
256,40347
257,14316
258,48026
259,15665
260,12405
261,40782
262,40474
263,40471
264,21339
265,46641
266,21338
267,46640
268,46612
269,40685
270,40672
271,40681
272,23363
273,20704
274,24039
275,12745
276,15904
277,26182
278,22706
279,22269
280,31598
281,20701
282,18075
283,20700
284,19262
285,18073
286,24033
287,25156
288,12491
289,12488
290,15908
291,28807
292,9249
293,22759
294,22758
295,25155
296,24042
297,25154
298,26178
299,24036
300,20508
301,28144
302,22761
303,20699
304,20696
305,24031
306,4381
307,46085
308,25158
309,18150
310,12742
311,40583
312,28808
313,27442
314,24041
315,25161
316,22760
317,23364
318,46863
319,18695
320,6708
321,18729
322,48027
323,11043
324,12495
325,40651
326,40654
327,26180
328,40586
329,45402
330,36513
331,5233
332,36033
333,36070
334,36071
335,36119
336,36120
337,38620
338,19045
339,36121
340,41923
341,7997
342,39101
343,41932
344,41925
345,41927
346,41919
347,7996
348,36238
349,38601
350,38685
351,38138
352,38113
353,38111
354,38131
355,38134
356,32239
357,37345
358,35567
359,21513
360,45162
361,25203
362,19486
363,12893
364,39287
365,36842
366,42040
367,37229
368,34555
369,39256
370,37224
371,37222
372,36835
373,39500
374,27100
375,27089
376,27087
377,16295
378,31975
379,35970
380,45662
381,45899
382,31968
383,21511
384,11653
385,6835
386,40333
387,40328
388,40329
389,6841
390,16443
391,35943
392,35930
393,35932
394,35931
395,40334
396,13363
397,35986
398,35987
399,35980
400,45846
401,35979
402,35978
403,35940
404,17271
405,17038
406,40293
407,42655
408,40317
409,40320
410,17272
411,48034
412,9136
413,29794
414,27098
415,30010
416,30009
417,42781
418,27092
419,30143
420,30142
421,46992
422,23049
423,26998
424,4773
425,9254
426,34786
427,32397
428,26684
429,48035
430,30217
431,26908
432,42778
433,45644
434,30139
435,45320
436,46257
437,26991
438,27031
439,26966
440,39730
441,18884
442,40108
443,32761
444,30226
445,29901
446,29790
447,14117
448,30375
449,30377
450,5285
451,7814
452,41498
453,37912
454,14960
455,8601
456,11959
457,14164
458,30381
459,30015
460,37529
461,30365
462,46781
463,13676
464,463
465,42782
466,32688
467,32687
468,45350
469,30369
470,31970
471,42987
472,15324
473,17724
474,38352
475,36146
476,48037
477,10376
478,10374
479,32098
480,2006
