"mc_id","inchi_id"
1,5
2,6
3,32
4,54
5,56
6,57
7,81
8,89
9,90
10,92
11,105
12,108
13,109
14,110
15,111
16,112
17,113
18,114
19,122
20,145
21,146
22,147
23,149
24,150
25,157
26,166
27,167
28,185
29,188
30,190
31,198
32,205
33,213
34,214
35,219
36,220
37,223
38,224
39,225
40,226
41,227
42,228
43,229
44,231
45,232
46,235
47,236
48,237
49,238
50,239
51,240
52,248
53,251
54,253
55,254
56,255
57,256
58,258
59,259
60,263
61,264
62,272
63,274
64,276
65,277
66,280
67,311
68,315
69,316
70,317
71,319
72,320
73,321
74,322
75,323
76,324
77,327
78,331
79,332
80,355
81,356
82,360
83,361
84,364
85,365
86,376
87,378
88,379
89,399
90,400
91,401
92,403
93,411
94,413
95,415
96,416
97,418
98,422
99,423
100,424
101,435
102,437
103,438
104,439
105,440
106,447
107,448
108,453
109,454
110,455
111,456
112,457
113,458
114,459
115,460
116,461
117,465
118,466
119,468
120,470
121,473
122,476
123,480
124,486
125,489
126,508
127,509
128,516
129,523
130,525
131,528
132,536
133,543
134,544
135,573
136,575
137,587
138,589
139,595
140,601
141,610
142,613
143,615
144,618
145,624
146,646
147,669
148,681
149,698
150,708
151,712
152,717
153,719
154,720
155,721
156,722
157,724
158,738
159,741
160,743
161,745
162,746
163,748
164,754
165,757
166,760
167,762
168,764
169,766
170,767
171,768
172,769
173,771
174,772
175,778
176,784
177,787
178,788
179,798
180,804
181,806
182,807
183,812
184,814
185,816
186,817
187,819
188,829
189,840
190,841
191,842
192,843
193,844
194,845
195,846
196,851
197,853
198,855
199,858
200,859
201,860
202,863
203,864
204,870
205,873
206,877
207,879
208,880
209,883
210,887
211,901
212,903
213,905
214,907
215,908
216,909
217,923
218,928
219,930
220,932
221,935
222,936
223,942
224,943
225,951
226,955
227,956
228,958
229,960
230,961
231,962
232,965
233,1022
234,1024
235,1027
236,1031
237,1039
238,1040
239,1042
240,1045
241,1047
242,1049
243,1050
244,1057
245,1060
246,1066
247,1067
248,1068
249,1075
250,1076
251,1078
252,1093
253,1095
254,1099
255,1103
256,1133
257,1150
258,1157
259,1180
260,1181
261,1202
262,1211
263,1212
264,1215
265,1217
266,1218
267,1235
268,1270
269,1272
270,1278
271,1287
272,1308
273,1309
274,1311
275,1312
276,1314
277,1315
278,1316
279,1319
280,1323
281,1327
282,1328
283,1329
284,1335
285,1338
286,1339
287,1342
288,1366
289,1379
290,1391
291,1392
292,1407
293,1416
294,1417
295,1422
296,1426
297,1428
298,1432
299,1433
300,1434
301,1435
302,1438
303,1449
304,1455
305,1483
306,1549
307,1550
308,1561
309,1566
310,1571
311,1578
312,1587
313,1594
314,1606
315,1610
316,1611
317,1620
318,1637
319,1638
320,1642
321,1660
322,1668
323,1670
324,1679
325,1680
326,1681
327,1684
328,1685
329,1686
330,1687
331,1691
332,1694
333,1695
334,1698
335,1701
336,1702
337,1713
338,1714
339,1715
340,1716
341,1717
342,1722
343,1728
344,1730
345,1733
346,1736
347,1737
348,1740
349,1745
350,1746
351,1747
352,1748
353,1750
354,1751
355,1752
356,1753
357,1755
358,1756
359,1757
360,1759
361,1761
362,1762
363,1767
364,1773
365,1782
366,1787
367,1789
368,1790
369,1793
370,1799
371,1801
372,1802
373,1803
374,1804
375,1805
376,1812
377,1813
378,1815
379,1816
380,1823
381,1826
382,1830
383,1832
384,1837
385,1838
386,1839
387,1842
388,1843
389,1846
390,1848
391,1856
392,1859
393,1908
394,1920
395,1921
396,1953
397,1958
398,1970
399,1971
400,1980
