"source_id","source_name","link","disclosure","type","country_scope","comments"
1,"Hazardous Chemical Information System","http://hcis.safeworkaustralia.gov.au/HazardousChemical",,,"Australia",
2,"Industrial Chemicals Inventory","https://www.industrialchemicals.gov.au/search-inventory",,,"Australia",
3,"Domestic Substance List","https://pollution-waste.canada.ca/substances-search/Substance?lang=en",,,"Canada",
4,"Inventory of Existing Chemical Classes","https://www.mee.gov.cn/gkml/hbb/bgg/201301/t20130131_245810.htm",,,"China",
5,"Inventory of Existing Chemical Substances and Chemicals","https://www.mee.gov.cn/gkml/hbb/bgg/201301/t20130131_245810.htm",,,"China",
6,"CLP Annex VI","https://echa.europa.eu/en/information-on-chemicals/annex-vi-to-clp",,,"Europe",
7,"EC Inventory","https://echa.europa.eu/information-on-chemicals/ec-inventory",,,"Europe",
8,"Chemical Substances Control Law Existing Chemical Substances","https://www.nite.go.jp/en/chem/chrip/chrip_search/sltLst",,,"Japan",
9,"Chemical Substances Control Law Newly Announced Chemical Substances (notified by March 31, 2011)","https://www.nite.go.jp/en/chem/chrip/chrip_search/sltLst",,,"Japan",
10,"Chemical Substances Control Law Newly Announced Chemical Substances (notified on and after April 1, 2011)","https://www.nite.go.jp/en/chem/chrip/chrip_search/sltLst",,,"Japan",
11,"NITE","https://www.nite.go.jp/chem/english/ghs/ghs_download.html",,,"Japan",
12," Chemicals Information System ","https://ncis.nier.go.kr/en/mttrList.do",,,"South Korea",
13,"Chemical Information Management System Inventory","https://cims.dosh.gov.my/",,,"Malaysia",
14,"Inventory of Chemicals","https://www.epa.govt.nz/industry-areas/hazardous-substances/guidance-for-importers-and-manufacturers/hazardous-substances-databases/",,,"New Zealand",
15,"Inventory of Chemicals and Chemical Substances EMB-MC 2020-007","https://chemical.emb.gov.ph/?page_id=138",,,"Philippines",
16,"Inventory of Chemicals and Chemical Substances EMB-MC 2021-08","https://chemical.emb.gov.ph/?page_id=138",,,"Philippines",
17,"Inventory of Chemicals and Chemical Substances","https://chemical.emb.gov.ph/?page_id=138",,,"Philippines",
18,"Chemical Substance Inventory","https://gazette.nat.gov.tw/egFront/detail.do?metaid=73440&log=detailLog",,,"Taiwan",
19,"Chemical Substance Inventory Addition","https://gazette.nat.gov.tw/egFront/detail.do?metaid=78617&log=detailLog",,,"Taiwan",
20,"Chemical Data Reporting Inventory, Consumer and Commercial Use","https://www.epa.gov/chemical-data-reporting",,,"United States of America",
21,"Chemical Data Reporting Inventory, Industrial Processing and Use","https://www.epa.gov/chemical-data-reporting",,,"United States of America",
22,"Chemical Data Reporting Inventory, Manufacturing-Import Information","https://www.epa.gov/chemical-data-reporting",,,"United States of America",
23,"Chemical Data Reporting Inventory, Nationally Aggregated Production Volumes","https://www.epa.gov/chemical-data-reporting",,,"United States of America",
24,"Toxic Substances Control Act (TSCA) Chemical Substance Inventory","https://www.epa.gov/tsca-inventory/how-access-tsca-inventory",,,"United States of America",
25,"Substances in Preparations in Nordic Countries Inventory","http://www.spin2000.net/spinmyphp/",,,"Scandinavia",
